time,depth,N2_mean,CoM
1992-01-16 18:00:00,10.0,6.188447348998442e-06,-0.0
1992-02-15 12:00:00,10.0,5.258608051914326e-06,-0.0
1992-03-16 12:00:00,10.0,5.375751053772661e-06,-0.0
1992-04-16 00:00:00,10.0,6.002078712127405e-06,-0.0
1992-05-16 12:00:00,10.0,6.357636136180621e-06,-0.0
1992-06-16 00:00:00,10.0,5.922671139633329e-06,-0.0
1992-07-16 12:00:00,10.0,6.276542923275407e-06,-0.0
1992-08-16 12:00:00,10.0,5.652733850657882e-06,-0.0
1992-09-16 00:00:00,10.0,4.785246412250742e-06,-0.0
1992-10-16 12:00:00,10.0,4.521902710862024e-06,-0.0
1992-11-16 00:00:00,10.0,5.2930939729469565e-06,-0.0
1992-12-16 12:00:00,10.0,5.483927265991373e-06,-0.0
1993-01-16 12:00:00,10.0,5.777043563980259e-06,-0.0
1993-02-15 00:00:00,10.0,5.985529445165952e-06,-0.0
1993-03-16 12:00:00,10.0,6.183847097669035e-06,-0.0
1993-04-16 00:00:00,10.0,5.500029657861684e-06,-0.0
1993-05-16 12:00:00,10.0,5.449265452986539e-06,-0.0
1993-06-16 00:00:00,10.0,5.873290263578684e-06,-0.0
1993-07-16 12:00:00,10.0,6.211763758583752e-06,-0.0
1993-08-16 12:00:00,10.0,5.78763557002814e-06,-0.0
1993-09-16 00:00:00,10.0,4.873057167722597e-06,-0.0
1993-10-16 12:00:00,10.0,4.7169036748214645e-06,-0.0
1993-11-16 00:00:00,10.0,5.307780898812903e-06,-0.0
1993-12-16 12:00:00,10.0,6.054783916594801e-06,-0.0
1994-01-16 12:00:00,10.0,6.019011462035703e-06,-0.0
1994-02-15 00:00:00,10.0,6.410697334764077e-06,-0.0
1994-03-16 12:00:00,10.0,7.2921706564374016e-06,-0.0
1994-04-16 00:00:00,10.0,6.2388006161984446e-06,-0.0
1994-05-16 12:00:00,10.0,5.593497029164683e-06,-0.0
1994-06-16 00:00:00,10.0,5.7822668908109295e-06,-0.0
1994-07-16 12:00:00,10.0,6.725152381276466e-06,-0.0
1994-08-16 12:00:00,10.0,6.095782191433899e-06,-0.0
1994-09-16 00:00:00,10.0,4.898493686365201e-06,-0.0
1994-10-16 12:00:00,10.0,5.0183894510581285e-06,-0.0
1994-11-16 00:00:00,10.0,5.102213689807494e-06,-0.0
1994-12-16 12:00:00,10.0,5.584230747826697e-06,-0.0
1995-01-16 12:00:00,10.0,5.555761356427711e-06,-0.0
1995-02-15 00:00:00,10.0,6.13965047040619e-06,-0.0
1995-03-16 12:00:00,10.0,6.193127009618658e-06,-0.0
1995-04-16 00:00:00,10.0,6.1040794745990145e-06,-0.0
1995-05-16 12:00:00,10.0,5.813542204597813e-06,-0.0
1995-06-16 00:00:00,10.0,6.001196814069092e-06,-0.0
1995-07-16 12:00:00,10.0,6.45704654728409e-06,-0.0
1995-08-16 12:00:00,10.0,5.867338056847334e-06,-0.0
1995-09-16 00:00:00,10.0,4.836553655223862e-06,-0.0
1995-10-16 12:00:00,10.0,4.653558435406483e-06,-0.0
1995-11-16 00:00:00,10.0,5.126056562462364e-06,-0.0
1995-12-16 12:00:00,10.0,5.600331138597842e-06,-0.0
1996-01-16 12:00:00,10.0,5.8140900841605415e-06,-0.0
1996-02-15 12:00:00,10.0,6.2626889940335974e-06,-0.0
1996-03-16 12:00:00,10.0,6.891562298844253e-06,-0.0
1996-04-16 00:00:00,10.0,6.110304491968833e-06,-0.0
1996-05-16 12:00:00,10.0,5.985823429044164e-06,-0.0
1996-06-16 00:00:00,10.0,6.1626417705946355e-06,-0.0
1996-07-16 12:00:00,10.0,6.53216561868813e-06,-0.0
1996-08-16 12:00:00,10.0,6.093634449033604e-06,-0.0
1996-09-16 00:00:00,10.0,4.765880503081561e-06,-0.0
1996-10-16 12:00:00,10.0,4.464769914269415e-06,-0.0
1996-11-16 00:00:00,10.0,5.122903002844035e-06,-0.0
1996-12-16 12:00:00,10.0,5.41887243947042e-06,-0.0
1997-01-16 12:00:00,10.0,5.41418923304774e-06,-0.0
1997-02-15 00:00:00,10.0,5.285367653054419e-06,-0.0
1997-03-16 12:00:00,10.0,6.180716909572e-06,-0.0
1997-04-16 00:00:00,10.0,5.398018796403144e-06,-0.0
1997-05-16 12:00:00,10.0,5.451715497359521e-06,-0.0
1997-06-16 00:00:00,10.0,5.762654160207967e-06,-0.0
1997-07-16 12:00:00,10.0,6.41532756352534e-06,-0.0
1997-08-16 12:00:00,10.0,5.58940564596119e-06,-0.0
